SIGNAL2,B,C
504.2,0.01203,3648
504.4,0.01202,3808
504.6,0.01202,3584
504.8,0.01202,3676
505,0.01203,3726
505.2,0.01203,3746
505.4,0.01202,3540
505.6,0.01204,3672
505.8,0.01203,3526
506,0.01202,3730
506.2,0.01203,3638
506.4,0.01203,3570
506.6,0.01203,3610
506.8,0.012,3470
507,0.01203,3458
507.2,0.01201,3602
507.4,0.01202,3324
507.6,0.012,3476
507.8,0.01204,3504
508,0.01202,3518
508.2,0.01201,3578
508.4,0.01203,3456
508.6,0.01202,3426
508.8,0.01202,3472
509,0.01206,3496
509.2,0.01204,3550
509.4,0.01203,3264
509.6,0.01201,3452
509.8,0.01203,3450
510,0.01205,3396
510.2,0.01202,3432
510.4,0.01202,3304
510.6,0.01201,3476
510.8,0.012,3498
511,0.01201,3374
511.2,0.01203,3242
511.4,0.01203,3322
511.6,0.01201,3376
511.8,0.01201,3318
512,0.01201,3178
512.2,0.01202,3388
512.4,0.01203,3158
512.6,0.01201,3190
512.8,0.01203,3118
513,0.01202,3174
513.2,0.01201,3158
513.4,0.01205,3026
513.6,0.01202,3242
513.8,0.01202,3160
514,0.01201,3232
514.2,0.01202,3270
514.4,0.01204,3190
514.6,0.01202,3144
514.8,0.01203,3046
515,0.01202,3068
515.2,0.01204,3080
515.4,0.01203,3178
515.6,0.01202,3004
515.8,0.01204,3072
516,0.01204,3004
516.2,0.01203,3140
516.4,0.01203,2944
516.6,0.01203,2936
516.8,0.012,3040
517,0.012,2878
517.2,0.01202,2946
517.4,0.01202,2992
517.6,0.012,2964
517.8,0.01203,3056
518,0.01204,3022
518.2,0.01203,2846
518.4,0.012,2924
518.6,0.01201,2978
518.8,0.01202,2940
519,0.01201,2900
519.2,0.01201,2902
519.4,0.01201,2734
519.6,0.012,2944
519.8,0.01203,2984
520,0.01203,2710
520.2,0.01202,2876
520.4,0.01202,2886
520.6,0.012,2820
520.8,0.012,2878
521,0.01202,3012
521.2,0.01203,2744
521.4,0.01204,2878
521.6,0.01204,2842
521.8,0.01202,2850
522,0.01205,2880
522.2,0.01204,2862
522.4,0.01202,2828
522.6,0.01201,2606
522.8,0.01203,2774
523,0.01204,2682
523.2,0.01199,2760
523.4,0.01201,2708
523.6,0.012,2702
523.8,0.01204,2704
524,0.01203,2714
524.2,0.01206,2604
524.4,0.01203,2704
524.6,0.01201,2690
524.8,0.01202,2596
525,0.01205,2594
525.2,0.01203,2548
525.4,0.01203,2698
525.6,0.01202,2618
525.8,0.01202,2598
526,0.01206,2622
526.2,0.01206,2524
526.4,0.01204,2664
